customer_id,increment_id,item_id,name,order_id,product_id,qty_ordered,sku
,100000001,1,Sugr balance 60 capsules bottle 200gms,1,1114,1.0000,product-id-9307
,100000001,2,Organic Desi Ghee 450 ML,1,1041,1.0000,product-id-8109
,100000006,8,Gow darbar gold agarbatti 75gms,6,217,1.0000,product-id-3993
,100000006,9,Gow darbar blue agarbatti 75gms,6,213,1.0000,product-id-3956
,100000010,13,Gow darbar gold agarbatti 75gms,10,217,3.0000,product-id-3993
,100000010,14,Gow darbar blue agarbatti 75gms,10,213,3.0000,product-id-3956
,100000011,15,Angrakshak soap 68gms,11,372,10.0000,product-id-4808
,100000012,16,Sugr balance 250 capsules bottle 700gms,12,1141,1.0000,product-id-9362
136,100000013,17,IMC Anti-oxidant Tea -250gms,13,1315,1.0000,product-id-9916
136,100000014,18,Angrakshak soap 68gms,14,372,1.0000,product-id-4808
,100000015,19,Arogya rahasya gomutra ark 500ml,15,1069,2.0000,product-id-8599
,100000015,20,organic moringa mint tea  ( Ayurvedic shigru pudina chai ) -10 bags,15,171,1.0000,product-id-3777
,100000015,21,Cold pressed black sesame oil 500ml,15,1078,1.0000,product-id-8700
,100000016,22,Gow darbar gold agarbatti 25gms,16,220,10.0000,product-id-4000
,100000016,23,Gow darbar blue agarbatti 75gms,16,213,4.0000,product-id-3956
,100000016,24,Saatvik dhoop -12pcs,16,429,4.0000,product-id-5139
157,100000018,26,Desi cow ghee 400gms,18,203,1.0000,product-id-3901
157,100000018,27,Iron Kadai with wooden handle,18,1344,1.0000,product-id-10566
,100000019,28,Vitality 60 capsules bottle 200gms,19,1115,1.0000,product-id-9309
,100000019,29,Cow dung Cakes,19,1285,1.0000,product-id-9804
,100000019,30,Hammered Joint Free Copper Bottle,19,1340,1.0000,product-id-10445
,100000019,31,Gow darbar gold agarbatti 25gms,19,220,1.0000,product-id-4000
,100000019,32,Jumbo Mosquito coil -10pcs,19,547,1.0000,product-id-5805
,100000019,33,Banjara's Mulanti mitti face pack 100gms,19,1073,1.0000,product-id-8645
,100000019,34,OW'Heal Brahmi Plus 90capsules,19,1376,1.0000,product-id-10803
159,100000024,42,Arogya Rahasya Rock Salt (1 Kg),24,1348,5.0000,product-id-10589
159,100000024,43,Goseva Danth manjan,24,487,3.0000,variant-id-5548
159,100000024,44,Arogya rahasya herbal floor cleaner 1 lit,24,1099,2.0000,product-id-9202
159,100000024,45,Akshaya's Gousuddhi floor cleaner 1lit,24,1098,1.0000,product-id-9198
159,100000024,46,Pancha gavya premium soap 125gms,24,518,3.0000,product-id-5671
159,100000024,47,Handwash 250ml,24,343,2.0000,product-id-4638
137,100000026,50,IMC Anti-oxidant Tea -250gms,26,1315,1.0000,product-id-9916
,100000029,53,Gow darbar blue agarbatti 75gms,29,213,6.0000,product-id-3956
243,100000031,55,Panchagavya dhoop sticks sandal 15 sticks,31,307,42.0000,product-id-4456
242,100000032,56,Arogya Rahasya Rock Salt (1 Kg),32,1348,10.0000,product-id-10589
161,100000034,58,Gow darbar gold agarbatti 75gms,34,217,1.0000,product-id-3993
161,100000034,59,Face pack rose 20gms,34,376,1.0000,product-id-4855
161,100000034,60,Goratna Chandan dhoop sticks 20sticks,34,335,1.0000,product-id-4610
161,100000034,61,Panchagavya dhoop sticks sandal 15 sticks,34,307,1.0000,product-id-4456
161,100000034,62,Goratna Kala thail 50ml,34,351,1.0000,product-id-4673
161,100000034,63,Gow darbar blue agarbatti 25gms,34,215,1.0000,product-id-3972
161,100000034,64,Banjara's Premium rose water,34,463,1.0000,variant-id-5341
161,100000034,65,Akshaya's Pancha gavya premium soap 125gms,34,518,1.0000,product-id-5671
161,100000034,66,Moringa peat nut chikki -80 gm,34,1350,1.0000,product-id-10599
253,100000039,73,Gau Naturals Dhaniya powder 200gms,39,494,5.0000,variant-id-5570
137,100000055,102,Kairali Kairtis - Ayurvedic oil for Rheumatism & Arthritis (110 ml),55,1103,1.0000,product-id-9240
,100000058,105,Arogya Rahasya Rock Salt (1 Kg),58,1348,2.0000,product-id-10589
,100000058,106,Arogya Rahasya Desi cow ghee 400gms,58,203,1.0000,product-id-3901
,100000058,107,Terra greens Jaggery powder 500gms,58,1302,1.0000,product-id-9847
,100000058,108,Amlamrut  Amla squash 650ml,58,326,1.0000,product-id-4554
295,100000091,156,Arogya Rahasya Joint Less Copper Bottle,91,1341,1.0000,product-id-10447
296,100000093,158,Arogyarahasya Turmeric juice 200ml,93,156,1.0000,product-id-3722
297,100000095,160,Moringa peat nut chikki -80 gm,95,1350,25.0000,product-id-10599
241,100000098,164,24 Mantra Biryani Ready to cook (200gm),98,0,1.0000,product-id-4854
241,100000098,165,Khadi  Moisturazing lotion Sandal 200ml,98,659,1.0000,product-id-6559
241,100000098,166,Panchagavya dhoop sticks sandal 15 sticks,98,307,1.0000,product-id-4456
241,100000098,167,Gow darbar gold agarbatti 25gms,98,220,1.0000,product-id-4000
241,100000098,168,Gow darbar blue agarbatti 25gms,98,215,1.0000,product-id-3972
241,100000098,169,Goseva-Gokripa Saatvik dhoop -12pcs,98,429,1.0000,product-id-5139
241,100000098,170,Sanatan Jasmine(Mogra) Incense sticks 25gms,98,1092,1.0000,product-id-8997
241,100000098,171,Goratna Chandan dhoop sticks 20sticks,98,335,1.0000,product-id-4610
241,100000098,172,Attar kevada 5ml,98,388,1.0000,product-id-4925
241,100000098,173,Arogya rahasya herbal floor cleaner 1 lit,98,1099,1.0000,product-id-9202
241,100000098,174,Rajinigandha agarbatti 25gms,98,401,1.0000,variant-id-4991
241,100000098,175,24 Mantra Moong Dal(500 gm),98,0,1.0000,product-id-4586
241,100000098,176,Kanakchampa agarbatti 25/150gms,98,394,1.0000,variant-id-4962
299,100000102,180,Arogya Rahasya Joint Less Copper Bottle,102,1342,1.0000,product-id-10449
288,100000106,188,24 Mantra Almonds(100 gm),106,0,2.0000,product-id-4304
288,100000106,189,Moringa peat nut chikki -80 gm,106,1350,3.0000,product-id-10599
155,100000107,190,Health Sutra Ragi biscuits 100gms,107,593,5.0000,product-id-6018
155,100000107,191,24 Mantra CASHEWS(100 gm),107,0,2.0000,product-id-4308
302,100000112,198,Arogya Rahasya Iron tadka pan,112,1346,2.0000,product-id-10571
302,100000112,199,Amlamrut Amla honey 300gms,112,1476,1.0000,product-id-11380
302,100000112,200,Goratna Panchagavya with sandal bath soap -75gms,112,1087,2.0000,product-id-8931
305,100000115,206,24 Mantra Almonds(100 gm),115,0,2.0000,product-id-4304
305,100000115,207,Being Desi Honey amla candy 250gms,115,426,1.0000,product-id-5135
309,100000120,218,24 Mantra Almonds(100 gm),120,0,1.0000,product-id-4304
309,100000120,219,24 Mantra CASHEWS(100 gm),120,0,1.0000,product-id-4308
309,100000120,220,Terra greens kismis 100gms,120,1294,1.0000,product-id-9833
309,100000120,221,Health Sutra Ragi biscuits 100gms,120,593,1.0000,product-id-6018
312,100000122,223,Arogya Rahasya Joint Less Copper Bottle,122,1341,1.0000,product-id-10447
